,反油酸乙酯,2-甲基-2-苯乙酯丙酸,己酸-2-苯乙酯,己酸,亚油酸乙酯,"2,6-二叔丁基-4-甲基苯酚",9-十六碳烯酸乙酯,十一醇,Group
s1t0,0,0,0,0,0,0,0,6.733919937,0
s2t0,0,0,0,6.221148494,0,0,0,6.667087814,0
s3t0,0,0,0,8.320209136,0,0,0,6.611126867,0
s4t0,0,0,0,0,0,0,0,0,0
s5t0,0,0,0,7.071933052,0,0,0,0,0
s6t0,0,0,0,7.122371678,0,0,0,7.722245968,0
s7t0,0,0,0,8.654580978,0,0,0,0,0
s1t2,0,0,0,0,0,6.901082856,0,0,2
s2t2,0,0,0,0,0,6.737149871,0,0,2
s3t2,0,0,0,0,0,7.143654292,0,0,2
s4t2,0,0,0,0,0,6.754013323,0,0,2
s5t2,0,0,0,0,0,6.7910222,0,0,2
s6t2,0,0,0,0,0,6.901082856,0,0,2
s7t2,0,0,0,0,0,6.933462885,0,0,2
s1t4,0,0,7.056735609,0,0,6.826234712,6.840742489,0,4
s2t4,0,0,7.220175441,0,7.80273232,6.849350606,7.258336059,0,4
s3t4,0,0,7.280786961,0,7.68823109,6.959779238,7.389546101,0,4
s4t4,0,0,7.56957786,0,6.591538314,7.019483208,6.505088428,0,4
s5t4,0,0,7.164749129,0,0,7.099833928,7.235501083,0,4
s6t4,0,0,7.293928307,0,7.64667905,6.864845988,6.845817521,0,4
s7t4,0,0,7.281970142,0,6.499308331,7.023358397,7.441824942,0,4
s1t6,0,6.770912028,7.071943314,8.177749558,0,6.643366319,6.876517189,0,6
s2t6,0,6.711171053,7.000446939,8.216596602,0,6.591852171,6.980065344,0,6
s3t6,0,6.797537853,7.123800667,8.263817441,0,6.647655053,6.992401782,0,6
s4t6,0,6.611728612,6.821429134,8.69180289,0,6.560119051,6.696105467,0,6
s5t6,0,6.872257538,7.063932709,7.925862872,0,6.809947816,6.601172801,0,6
s6t6,0,6.742397566,6.967036689,7.887814671,0,6.891240142,6.539070404,0,6
s7t6,0,6.743354773,6.873779803,8.561368525,0,6.907384823,7.125619855,0,6
s1t9,0,6.722395637,7.231096644,8.321342378,0,0,7.482346688,0,9
s2t9,0,6.680812133,7.216950924,8.344053428,7.620061585,0,6.772385948,0,9
s3t9,0,6.698392745,7.180494967,8.377060428,0,0,6.859912627,0,9
s4t9,0,6.745273923,7.560810799,8.590708805,0,0,7.084781028,0,9
s5t9,0,6.685275979,7.116088439,8.049774831,7.349671783,0,7.279178673,0,9
s6t9,0,6.759027503,7.35692233,8.116615992,7.552688705,0,7.297633005,0,9
s7t9,0,6.669501719,7.04844481,8.281681167,7.369522256,0,6.769889163,0,9
s1t12,8.074194097,0,7.505696989,8.656391517,8.15564062,6.819798009,7.766670846,0,12
s2t12,7.469747277,0,7.22458774,8.579063656,7.499219347,6.938063917,6.714911794,0,12
s3t12,7.717554635,0,7.143487971,8.453836618,7.798113154,6.972616934,7.512242572,0,12
s4t12,7.646438842,0,7.656777885,8.880848125,7.622710478,6.941198191,7.102216253,0,12
s5t12,7.207744302,0,7.17929381,8.094391296,7.252776777,7.112886717,6.969448252,0,12
s6t12,7.418426089,0,7.288168807,8.155723382,7.459939521,7.080728409,7.350761773,0,12
s7t12,7.265705707,0,6.985159645,8.626701031,7.328605701,6.86415478,7.210880051,0,12
s1t15,6.981094308,0,7.339164459,8.390730218,7.144410482,7.021554792,7.071165229,6.894174371,15
s2t15,6.931750287,0,7.289203284,8.340651959,7.074631725,6.92020871,7.129339917,7.63683498,15
s3t15,7.152748357,0,7.34723361,8.366819899,7.412577963,7.390519065,7.338001033,7.702318435,15
s4t15,7.185321088,0,7.752463203,8.74440769,7.239009978,7.407500192,7.05565998,0,15
s5t15,7.612697875,0,7.353567198,8.448711697,7.764149569,7.815056973,7.599385021,7.819341081,15
s6t15,7.234034458,0,7.303747727,8.448711697,7.431061161,7.360567329,7.191423644,6.278947975,15
s7t15,7.072570335,0,7.175362251,8.182327277,7.342619168,7.17059958,7.301100891,6.760780898,15
s1t17,8.07105219,7.441410267,7.778262302,8.989260137,8.131142527,7.078773895,7.969724601,6.579348427,17
s2t17,8.423402333,7.306251364,7.711112335,8.838376136,8.45444431,7.090077648,8.063826747,6.553607554,17
s3t17,8.184633503,7.398319033,7.775651953,8.87616898,8.199768494,7.231867244,7.983279237,6.951130177,17
s4t17,7.806429765,7.527396105,8.059874264,9.214402388,7.730468956,7.273525456,7.754538129,7.110490148,17
s5t17,7.560891682,7.213179099,7.558064734,8.406902642,7.747692657,7.329718935,7.721462878,7.466969544,17
s6t17,7.657069303,7.145898217,7.626015124,8.412161762,7.726153511,7.15787701,7.500449559,7.425779787,17
s7t17,7.571255745,7.316058137,7.614933999,9.021801673,7.720725439,7.296958252,7.748977013,7.570263669,17
s1t21,7.870673966,0,7.634284007,8.784291834,7.99957042,0,7.695247572,7.08101162,21
s2t21,7.886335709,0,7.586917852,8.577525593,7.922170516,0,7.74724703,6.868140619,21
s3t21,8.132126763,0,7.684469359,8.699306264,8.14906606,0,8.006070123,7.086103475,21
s4t21,6.995815673,0,7.696441035,8.994972645,6.931672373,0,6.799027276,7.068559348,21
s5t21,7.038215853,0,7.249463251,8.497383953,6.227167916,0,6.518923927,7.133045914,21
s6t21,7.51366008,0,7.439091775,8.604604803,7.78756739,0,7.564574334,7.339103546,21
s7t21,7.333525949,0,7.574076809,8.78098373,6.35533746,0,7.166475259,7.457303989,21
s1t24,8.041922001,0,7.711272067,9.238100168,8.017385946,0,7.683800458,7.016799377,24
s2t24,8.324799312,0,7.855682154,9.194178671,8.346884554,0,7.418583855,7.028549691,24
s3t24,8.31127585,0,7.84026295,9.103809748,8.333100476,0,7.945853821,7.0305744,24
s4t24,7.554490723,0,7.881765237,9.207154938,7.187344851,0,7.397323951,7.338746834,24
s5t24,7.143877345,0,7.19073473,8.297074847,7.16063106,0,7.294488587,7.124168648,24
s6t24,7.347875973,0,7.245895323,8.317730402,7.516296933,0,7.222591557,7.048048541,24
s7t24,7.334948079,0,7.28575575,8.666699374,7.331974834,0,7.073416959,7.173159376,24
